因变量,通话总量,大网占比,小网占比
0.21261967,2.822821645,0.903759398,0.219548872
0.275615636,2.62838893,0.971764706,0.028235294
0.16875259,2.537819095,0.991304348,0.223188406
0.154442549,3.201123897,0.898678414,0.112649465
0.333799014,3.132579848,0.846720707,0.153279293
-0.206491676,0.84509804,1,0
0.089579541,2.624282096,0.86935867,0.13064133
0.258323007,2.77815125,0.488333333,0.531666667
0.329656319,2.906873535,0.997521685,0.215613383
0.225374087,2.852479994,0.85252809,0.231741573
0.146015534,2.815577748,0.732415902,0.79204893
0.062842665,2.397940009,0.988,0.472
0.16661903,2.549003262,0.774011299,0.225988701
-0.114692,1.986771734,0.587628866,0.412371134
0.133040059,2.630427875,0.955503513,0.044496487
0.310932211,3.071882007,0.916949153,0.162711864
0.248090631,2.904174368,0.83915212,0.788029925
0.249730096,2.428134794,0.914179104,0.343283582
0.192738448,2.489958479,0.731391586,0.472491909
0.020250347,1.662757832,1,0
0.24762407,2.963315511,0.704026115,0.295973885
0.147521899,2.795880017,0.6768,0.3232
-0.007162925,1.857332496,0.375,0.625
0.267620015,2.644438589,0.963718821,0.126984127
0.188381884,2.790988475,0.567961165,0.444983819
0.167254811,2.919078092,0.920481928,0.079518072
0.168807031,2.413299764,1,0
0.270320997,2.964730921,0.934924078,0.065075922
0.194026035,2.848804701,0.923512748,0.471671388
0.194647626,2.522444234,0.87987988,0.12012012
0.215169779,2.790285164,0.961102107,0.379254457
0.001788357,1.755874856,1,0.01754386
0.141783527,2.609594409,0.619164619,0.466830467
0.200629558,2.665580991,0.831533477,0.451403888
0.275504779,2.829946696,0.976331361,0.310650888
0.196468203,2.103803721,0.952755906,0.047244094
0.230546542,2.784617293,0.63546798,0.36453202
0.191873851,2.683947131,0.962732919,0.037267081
0.089072266,2.589949601,0.737789203,0.598971722
0.174600469,2.726727209,0.831144465,0.508442777
0.221562602,2.888740961,0.993540052,0.006459948
0.276706543,3.093771781,0.850926672,0.235294118
0.313072339,3.143639235,0.944683908,0.055316092
0.186823549,2.597695186,0.813131313,0.186868687
0.174688804,2.693726949,0.597165992,0.4048583
0.3702081,3.335257256,0.951016636,0.048983364
0.08547264,2.930949031,0.951934349,0.72919109
0.159187036,2.387389826,0.860655738,0.139344262
0.186821117,2.593286067,0.928571429,0.479591837
0.153822338,2.44870632,0.975088968,0.024911032
0.031309165,2.465382851,0.97260274,0.02739726
0.141822636,2.477121255,0.986666667,0.013333333
0.325770028,3.175511813,0.870493992,0.139519359
0.187053482,2.45484486,0.947368421,0.052631579
0.301674096,2.925827575,0.99881376,0.00118624
0.042697383,2.243038049,0.708571429,0.291428571
0.099012787,2.245512668,0.954545455,0.045454545
0.071247517,2.492760389,0.678456592,0.321543408
0.286739906,3.004321374,0.90990099,0.169306931
0.225020341,2.813580989,0.9093702,0.0906298
0.039776364,1.770852012,0.915254237,0.084745763
0.308200381,3.263162465,0.889798145,0.110201855
0.16855366,2.372912003,0.940677966,0.06779661
0.099435217,2.340444115,0.808219178,0.191780822
0.298211367,2.654176542,0.716186253,0.283813747
0.164136132,2.478566496,0.750830565,0.485049834
0.122328475,2.411619706,0.930232558,0.069767442
0.063142964,2,0.85,0.43
0.229429251,2.434568904,0.959558824,0.139705882
0.167661297,2.859738566,0.930939227,0.354972376
0.14263724,2.247973266,0.84180791,0.322033898
0.059834088,2.049218023,0.875,0.258928571
0.039189033,2.127104798,0.835820896,0.246268657
0.21664828,2.752816431,0.856890459,0.143109541
0.213682147,2.463892989,0.628865979,0.810996564
0.233331265,2.551449998,0.719101124,0.280898876
0.500871109,2.068185862,0.444444444,0.555555556
0.031460277,1.662757832,0.956521739,0.043478261
0.28602331,3.027349608,0.937089202,0.062910798
0.26756142,2.562292864,0.901369863,0.380821918
0.120974776,2.846337112,0.947293447,0.176638177
0.0423062,1.875061263,0.84,0.426666667
0.23019252,2.916980047,0.779661017,0.220338983
0.064104649,2.133538908,0.772058824,0.264705882
0.089665898,2.361727836,0.508695652,0.565217391
0.099150309,2.630427875,0.50117096,0.538641686
0.603441358,2.904174368,0.112219451,0.887780549
0.017276116,1.968482949,0.870967742,0.129032258
0.081977745,2.230448921,0.8,0.623529412
0.107900751,2.387389826,0.581967213,0.459016393
0.278334566,2.921686475,0.894610778,0.605988024
0.121387126,2.552668216,0.638655462,0.464985994
0.243136858,2.45331834,0.746478873,0.253521127
0.238798155,2.522444234,0.693693694,0.384384384
0.182339312,2.635483747,0.75,0.358796296
0.065720157,2.152288344,0.929577465,0.070422535
-0.033916031,1.556302501,0.694444444,0.305555556
0.095670936,2.318063335,0.567307692,0.432692308
0.097940221,2.489958479,0.414239482,0.631067961
0.298348184,3.080626487,0.890365449,0.109634551
0.207530697,2.041392685,0.963636364,0.418181818
0.116547574,2.017033339,0.836538462,0.317307692
0.230388013,2.920123326,0.935096154,0.157451923
0.078608163,2.190331698,0.974193548,0.103225806
0.264937333,2.389166084,0.881632653,0.151020408
-0.109092542,1.278753601,0.842105263,0.157894737
0.025295243,2.008600172,0.921568627,0.078431373
0.15331723,2.44870632,0.896797153,0.1886121
0.189147071,2.536558443,0.703488372,0.354651163
0.17786719,2.397940009,0.896,0.104
0.226587073,2.463892989,0.749140893,0.374570447
0.130621557,2.206825876,0.807453416,0.192546584
0.166449274,2.709269961,0.66796875,0.48046875
0.245237628,2.980911938,0.598746082,0.401253918
0.298180159,2.925312091,0.756532067,0.371733967
0.066765263,2.1430148,0.762589928,0.237410072
0.118971937,2.604226053,0.888059701,0.664179104
0.308692041,2.901458321,0.776662484,0.710163112
0.27472891,2.813580989,0.952380952,0.055299539
0.062932851,2.421603927,0.727272727,0.310606061
0.124611244,2.872156273,0.872483221,0.127516779
0.221755176,2.414973348,0.973076923,0.026923077
0.237722179,2.401400541,0.984126984,0.015873016
0.233292707,2.741151599,0.898366606,0.101633394
0.07453044,2.311753861,0.863414634,0.136585366
0.292021965,3.199755177,0.98989899,0.039141414
0.151937694,2.760422483,0.782986111,0.229166667
0.05630059,2.311753861,0.643902439,0.356097561
-0.02550238,1.633468456,0.906976744,0.093023256
0.22302659,2.29666519,0.883838384,0.287878788
0.29600834,3.040206628,0.623518687,0.678213309
0.096537348,2.133538908,0.816176471,0.360294118
0.136275696,2.382017043,0.68879668,0.31120332
-0.13762341,0.77815125,1,0
0.203829459,2.146128036,0.971428571,0.028571429
0.237652169,1.963787827,0.97826087,0.02173913
0.076388629,2.376576957,0.533613445,0.466386555
0.366757111,3.039414119,0.656621005,0.628310502
0.132401147,2.403120521,0.984189723,0.015810277
0.122927307,2.146128036,0.328571429,0.671428571
0.124300924,2.06069784,0.991304348,0.052173913
0.293955945,3.041787319,0.856494096,0.143505904
0.138895306,2.551449998,0.980337079,0.019662921
0.402545012,2.627365857,0.992924528,0.393867925
0.175176046,2.790285164,0.871961102,0.241491086
0.000523234,1.568201724,1,0
0.135563245,2.877371346,0.220159151,0.807692308
0.061594521,2.450249108,0.975177305,0.106382979
0.123787967,2.371067862,0.885106383,0.119148936
0.185657434,2.62324929,0.871428571,0.128571429
0.004987163,1.806179974,0.921875,0.265625
0.303164497,3.005609445,0.764067127,0.254689042
0.129838005,2.42975228,0.936802974,0.063197026
0.189553557,2.487138375,0.951140065,0.140065147
0.428303902,2.08278537,0.73553719,0.26446281
0.168833758,2.281033367,0.905759162,0.387434555
0.067916335,2.071882007,0.661016949,0.338983051
0.743557027,2.697229343,0.993975904,0.238955823
0.209220641,1.903089987,0.9875,0.0625
0.063123357,2.565847819,0.608695652,0.391304348
0.032977747,2.439332694,0.516363636,0.483636364
0.24193288,2.330413773,0.91588785,0.093457944
0.140268507,2.127104798,0.850746269,0.164179104
0.2097962,2.549003262,0.957627119,0.104519774
0.142212928,2.428134794,0.951492537,0.048507463
-0.233251714,1,0.7,0.3
0.255268281,2.814247596,1,0
0.418251999,3.160168293,0.997233748,0.024204703
0.293345105,2.725094521,0.587570621,0.412429379
