district,bedrooms,halls,area,floor,subway,school,price
丰台,2,2,109.3876509,low,0,0,4.920574738
石景山,2,1,55.0104399,high,1,0,3.36902675
石景山,2,1,79.69252131,high,1,0,3.769788369
西城,2,1,52.47665835,high,1,1,8.319766037
东城,1,1,50.8169655,low,1,1,8.077536769
西城,2,0,67.15277071,middle,1,1,8.131467718
朝阳,3,2,137.7549402,high,1,0,5.70449709
东城,1,1,68.82280662,low,1,1,7.693194901
西城,2,1,72.52483673,middle,1,1,7.031126187
朝阳,2,2,102.0010332,high,1,0,6.168457227
东城,2,1,54.40030555,high,1,0,9.069337657
西城,3,1,115.2846058,middle,1,0,7.303618404
东城,2,1,53.9633241,high,1,0,9.924518343
丰台,3,1,66.26852541,high,1,0,4.678306786
石景山,2,1,63.21232581,low,1,0,3.901413129
海淀,2,2,109.44258,low,1,1,6.009699604
石景山,2,1,90.2573648,low,1,0,3.966602239
西城,2,1,59.76187483,high,0,1,7.803371844
海淀,1,1,65.70572854,low,1,1,5.269292156
石景山,2,1,68.02464485,middle,1,0,3.259735869
海淀,3,2,135.2107137,high,0,0,5.368996032
海淀,3,2,155.4041931,high,1,1,6.814980482
朝阳,2,2,104.3420905,low,1,0,6.688048143
海淀,2,1,80.1263382,middle,1,0,7.61301643
东城,2,1,117.4964981,middle,1,1,7.395017786
东城,1,0,63.88982262,high,1,1,8.638876024
西城,1,1,43.76118726,middle,0,0,7.770877577
西城,1,1,46.96626738,high,0,1,12.66467751
丰台,3,2,111.7755276,middle,0,0,3.993021385
朝阳,5,3,234.3303182,middle,1,1,8.988443454
丰台,2,2,111.0004959,low,0,0,4.772747017
朝阳,2,1,58.37466161,high,1,0,5.517248244
海淀,2,1,57.01080371,high,1,1,6.343977689
东城,2,1,64.01135457,middle,1,0,8.17194192
丰台,4,1,219.7552209,low,0,0,6.16292722
朝阳,2,1,63.16580091,middle,1,1,6.870122842
东城,2,2,83.16939549,middle,1,1,7.987050564
丰台,2,1,95.02732239,middle,0,0,3.375775605
朝阳,2,2,99.11682383,low,1,0,4.721191788
西城,1,1,41.50999241,low,1,0,9.513110524
石景山,2,1,50.11059223,low,1,0,3.589703048
朝阳,2,1,56.27448475,low,1,0,5.948028455
海淀,2,1,48.34964562,low,1,1,7.215513315
丰台,2,2,99.42342252,high,0,0,3.262269887
东城,3,2,185.6197736,high,1,1,5.83557639
朝阳,1,1,65.567198,high,1,0,6.201713234
东城,3,1,55.69398585,middle,1,1,7.952739244
西城,1,1,49.22029227,high,1,0,7.337357543
西城,2,1,57.81287588,high,1,1,11.06379049
石景山,2,1,67.68145475,high,1,0,3.212042576
东城,2,1,75.91214461,high,1,1,6.687799211
丰台,2,1,60.86853011,low,1,0,4.145407753
朝阳,2,2,87.1328389,high,1,1,11.17722008
丰台,2,1,60.54693279,low,0,0,4.094019214
东城,1,1,55.89791989,low,1,1,7.993601054
丰台,2,1,76.80898764,high,1,0,4.546383186
东城,2,1,60.24559697,middle,1,0,8.576061397
海淀,3,2,159.1348534,low,1,0,6.734051481
东城,3,1,62.72479134,high,1,0,8.640933841
西城,2,1,59.49388651,low,1,1,9.834443376
石景山,2,2,86.6360195,middle,1,0,5.701540258
朝阳,2,1,68.89914885,high,1,0,4.096899943
海淀,3,2,139.1721037,high,0,1,6.287463989
石景山,3,2,119.0567275,low,0,0,5.678713092
石景山,2,1,61.25835279,low,0,0,3.248217211
东城,1,1,46.56457047,high,1,1,8.1543782
丰台,2,1,87.83912751,middle,1,0,4.935690546
朝阳,2,2,99.30348768,middle,1,0,5.420764098
石景山,1,1,49.55378374,middle,1,0,4.26548404
丰台,2,1,62.4808805,high,1,0,3.849008545
朝阳,2,1,110.3596224,middle,1,0,4.66233977
丰台,2,1,95.65883811,low,1,0,5.345753528
西城,1,1,65.87092221,middle,1,0,7.090402947
石景山,2,1,71.46676745,middle,1,0,4.610045963
西城,2,2,103.1032003,middle,1,1,9.590436945
海淀,2,1,56.03488559,low,1,1,7.758390693
海淀,3,2,144.8988732,low,1,0,9.103272722
石景山,2,1,68.61974975,middle,1,0,4.176418904
西城,1,1,46.94028453,high,1,1,7.591686413
东城,3,2,155.5547909,low,1,1,6.641413315
