"gender","usage","credit","loan","history","accounts","status"
"女性",0.990067951474339,3000,0,0,0,0
"女性",1.35780835539568,3000,0,7,3,1
"男性",1.27668820399791,5000,0,7,2,3
"男性",0.724287358811125,3000,1745,0,0,0
"男性",1.073919051704,2000,0,0,11,0
"女性",1.17300125488546,3000,0,0,2,3
"男性",1.03027969072573,5000,0,0,5,6
"女性",0.945706043951213,4000,0,2,2,1
"男性",0.879257529927418,3000,0,2,4,0
"男性",0.601036245138384,3000,0,0,1,2
"男性",0.120265318443999,6000,0,0,0,7
"男性",1.1571916981414,3000,0,0,0,2
"女性",0,3000,1441,0,2,2
"男性",1.29011034961324,1900,0,4,6,3
"女性",0,10000,0,0,1,0
"女性",0.215370414648205,10000,0,0,0,0
"女性",0.84973374384921,3000,0,2,1,1
"男性",0.819260110133327,3000,0,6,4,2
"男性",0.797465838557109,10000,0,0,0,0
"男性",0.346579333166592,3000,0,0,0,0
"女性",0,5000,0,0,3,0
"男性",0.573825471582823,3000,0,2,4,0
"男性",0.979350160504691,5000,13368,0,3,0
"男性",1.26421834424138,10000,0,2,1,1
"男性",0.195542827676982,5000,0,1,2,6
"女性",0,5000,0,0,0,0
"女性",1.34002832796425,1000,0,2,4,4
"女性",0.305524466242641,3000,0,1,9,2
"女性",0.213812278956175,15000,0,0,0,0
"女性",1.17112270046491,6000,0,3,9,4
"男性",0.390255393804982,3000,0,1,1,2
"女性",0,10000,0,0,3,0
"女性",0.280437833359465,2000,2745,1,2,2
"女性",1.18683589721099,3000,0,1,0,1
"男性",0.971252040304244,3000,0,0,0,0
"男性",0.232470504557714,5000,0,3,0,2
"女性",1.04930000574794,3000,0,8,8,4
"女性",0.254253331818618,10000,2490,0,1,0
"男性",0.146811510743573,1000,0,0,4,0
"女性",0.0539738590316847,3000,0,0,1,0
"男性",1.48192629805766,15000,0,2,7,3
"男性",0,10000,0,0,3,0
"男性",0.990163705935702,3000,0,2,0,2
"女性",0.305934694716707,3000,0,0,5,2
"男性",1.28903275016695,4000,0,0,2,0
"男性",0,10000,0,0,1,0
"男性",1.19771168325096,8800,11146,0,15,2
"男性",1.1934199709259,3000,0,0,3,1
"男性",0.58193669422064,10000,2669,0,2,0
"男性",0.641877576904371,3000,0,2,1,2
"男性",0.951196800400503,2000,0,1,0,2
"男性",0.152298110313714,3000,0,1,0,0
"女性",0.13710842047818,3000,0,5,14,1
"男性",1.23100712626707,3000,0,0,7,3
"女性",0.901913128485903,4000,0,3,4,1
"男性",1.20510883280076,10000,0,1,8,2
"女性",0,3000,0,0,0,0
"女性",0.430819329759106,2000,0,1,0,2
"男性",0.947263824231923,3000,0,0,2,0
"男性",0.940775316990912,5000,0,7,0,3
"男性",1.05745471068192,10000,0,0,3,2
"女性",0.296913052308373,5000,0,0,1,2
"男性",0,2000,0,0,0,0
"男性",0.193193065403029,5000,0,0,1,0
"男性",0.202425015098415,4000,0,0,0,0
"男性",1.11322848133277,5000,3299,0,12,1
"女性",1.29785907152109,7000,0,1,15,0
"男性",0.451964372457005,4000,0,0,3,0
"女性",1.1546126279328,5000,0,0,1,1
"女性",1.02234898498747,5000,1669,0,0,0
"男性",0.727896657371893,5000,0,0,1,0
"男性",0.575120153306052,3500,0,4,1,2
"女性",1.19027072770987,5000,0,1,18,0
"男性",0.975093100317754,5000,0,0,4,1
"女性",0,3000,0,1,0,3
"女性",0.259426125711761,10000,1438,0,1,0
"女性",0.650290639745072,10000,0,0,7,0
"女性",1.10706414395478,3000,0,0,1,7
"男性",1.62278362528887,5000,0,5,7,2
"男性",1.09849712181371,5000,0,2,0,1
"男性",1.36098412327003,3000,0,1,1,3
"男性",0.820785254607908,3000,0,0,1,1
"男性",0,10000,631,0,1,0
"女性",0.784870331878774,3000,0,0,2,0
"女性",1.14457499978133,3000,0,7,6,2
"女性",0.888044606791809,2000,0,7,0,0
"男性",1.30367609629408,3000,2416,1,6,3
"男性",0.513009431520477,5000,0,1,6,3
"女性",0,3000,0,0,1,0
"男性",0.756634153118357,5000,853,10,0,3
"女性",1.01645395355765,3000,0,3,0,2
"男性",1.64965472320095,5000,0,8,9,2
"女性",0.280893282582983,5000,0,0,2,0
"男性",1.10844541352708,3000,0,0,16,0
"女性",1.12635420429986,3000,0,11,11,4
"男性",0.402022948325612,3000,0,3,1,2
"男性",1.27882530229166,2000,0,2,10,0
"男性",1.01758134410717,3000,0,3,4,4
"男性",1.28895915649831,2000,0,2,2,2
"女性",0,3000,0,1,0,0
"男性",0.449366760188714,5000,0,2,1,2
"男性",0.433200400331989,3000,0,1,0,2
"女性",0,5000,0,0,1,0
"女性",0.275515331635252,3000,0,0,0,0
"女性",0.353164053144865,1000,0,1,3,0
"女性",1.04667148942593,4000,0,0,1,0
"男性",0.373422862817533,3000,0,0,0,0
"男性",1.18947728977539,5000,0,4,2,3
"女性",1.0968182727322,5000,0,1,4,1
"男性",0,5000,0,0,1,2
"男性",1.20335454733577,6000,0,3,5,1
"男性",1.28722254986875,3000,0,2,1,3
"女性",0.889406108851545,6000,0,0,5,0
"男性",0,10000,1034,0,0,0
"男性",0.216340264403261,30000,4675,0,2,0
"女性",1.26568466562312,8000,0,0,13,0
"男性",1.1502418866707,10000,2645,0,2,3
"女性",0.78911524312105,5000,0,0,4,1
"男性",1.23451754334383,5000,22364,1,19,0
"女性",1.24069565624464,2000,0,11,12,3
"男性",1.08897012566216,1400,0,0,14,2
"男性",0.558439902672544,8000,1220,0,4,3
"男性",0.977571705477312,3000,0,0,0,2
"男性",1.0818470970355,5000,0,0,8,0
"女性",1.1108271801006,10000,0,0,0,2
"男性",1.022834033533,5000,0,0,7,1
"女性",1.11265097351279,2000,0,4,6,6
"男性",1.06179082886782,3000,0,1,18,2
"男性",1.02942185364664,3000,0,8,2,2
"男性",0.0634965058369562,3000,0,0,2,3
"男性",1.47667304565199,2000,0,5,0,2
"女性",0.758088120748289,3000,909,0,2,2
"男性",0.0917161616263911,3000,0,0,3,0
"男性",0,3000,0,0,1,0
"男性",0.523227172940969,5000,729,0,1,3
"女性",1.51276467844378,2800,0,0,18,4
"男性",1.49770826268941,7500,0,0,9,3
"男性",0,5000,0,0,5,2
"男性",1.04226277853828,4500,0,0,8,2
"女性",1.18971211524215,3000,0,1,0,2
"男性",1.80810629802756,10000,0,0,7,1
"男性",1.10523760246579,8000,0,0,3,0
"男性",0.684465028541163,10000,16341,3,3,1
"男性",1.0308368703723,5000,0,3,1,2
"男性",0.386461033038795,2000,0,0,5,0
"女性",0.358921606047079,10000,4291,0,0,1
"男性",1.13997027679812,1000,0,6,2,6
"女性",0.0661411569081247,6000,1863,0,1,0
"女性",0.888080293559469,2000,0,1,2,0
"男性",0.431382337100804,2000,0,0,3,0
"男性",0.956439175754786,5000,0,1,1,0
"男性",0.863980555296875,2000,0,0,12,2
"女性",0,5000,0,1,1,7
"女性",1.14790017260239,2000,0,0,7,1
"男性",0.566718028848991,5000,0,0,2,0
"男性",0.450969507941045,3000,0,1,7,0
"男性",1.24162919336464,8000,0,0,3,0
"男性",0.126943561788648,10000,0,0,1,0
"男性",1.39981303285807,3000,0,3,24,3
"女性",1.10386371081695,5000,0,1,4,5
"男性",0.602142610824667,3000,0,7,0,1
"女性",0.275129750557244,2000,0,0,0,0
"女性",1.22240330186673,3000,0,1,2,2
"男性",1.28650468136184,2000,1252,0,11,1
"男性",0.30611699576024,3000,0,0,2,0
"男性",0,4000,0,2,0,2
"女性",0.883442199532874,10000,2491,0,1,0
"女性",0,10000,1017,0,2,0
"男性",0.879792199474759,3000,0,5,5,3
"男性",0,10000,0,0,2,5
"男性",0.983929121135734,6000,0,2,2,1
"女性",0.522345552737825,3000,0,0,3,0
"女性",1.5994894858636,3000,0,1,0,0
"男性",0.251468177177012,20000,0,0,6,0
"男性",0.714852122962475,6000,7909,0,1,0
"女性",1.20371114349458,3000,0,0,4,1
"男性",0,10000,0,0,0,2
"男性",0.316978331189603,8000,4379,0,0,0
"女性",0.99900806362275,9000,0,5,3,1
"男性",0.818701181975193,10000,0,4,1,3
"男性",1.3066349242162,3000,0,4,5,3
"女性",0.0958898205775768,3000,0,1,0,0
"男性",0.381960620111786,3000,0,0,4,2
"男性",1.0856064525526,1000,0,1,1,2
"男性",0.994341811807826,3000,96487,0,9,0
"女性",1.17960886759683,10000,0,4,1,0
"女性",1.06693244868889,2000,0,0,3,0
"男性",0.219152944986708,5000,0,0,5,2
"女性",0.775873070703819,3000,0,14,5,2
"男性",0.420673496937379,5000,0,0,9,0
"女性",0,3000,0,0,3,1
"男性",0.832231807266362,3000,0,0,5,0
"女性",0.628993377224542,3000,0,0,2,0
"男性",0.269780028122477,15000,0,0,0,2
"女性",0.704239541613497,5000,0,1,2,2
"男性",0,2000,0,5,1,5
"男性",0,5000,0,0,2,0
"女性",0.194919145484455,10000,9335,0,2,0
"女性",0.755502108382061,3000,0,0,3,0
"男性",0.817007370619103,3000,0,5,2,5
"男性",0.1830850161938,2000,0,0,3,0
"男性",0,5000,0,0,1,1
"男性",1.0414750628639,1000,0,1,0,3
"男性",1.20524547972251,2000,0,0,4,1
"男性",0.562266575689428,3000,0,0,16,5
"男性",0.0195513203181326,10000,0,4,1,2
"女性",1.04755056745838,5000,0,1,0,0
"男性",1.10986984396353,20000,0,0,1,3
"男性",1.31926899180282,3000,0,3,5,3
"女性",1.46003812637646,3000,0,3,0,0
"女性",1.11049384414218,3500,0,5,3,1
"男性",0.723969776965678,10000,0,4,0,2
"男性",1.30499858560972,5000,0,4,6,3
"女性",1.143014529231,7000,2938,1,8,0
"女性",0.780631028614007,5000,0,0,0,0
"男性",0.755867110309191,5000,0,2,1,0
"男性",0.26916929110419,3000,0,1,1,0
"女性",0.0143921055970713,10000,0,0,2,0
"男性",0,10000,0,0,1,2
