"keyword","impression","click","cost","ranking","conversion"
"飞机票价格怎么算",55,4,1.89,3.39,0
"武汉特价飞机票",198,5,3.76,7.72,0
"广州机票特价",6,1,0.98,2,0
"昆明飞机票",205,1,0.63,10.56,0
"北京机票网",21,1,0.89,4.82,0
"武汉飞机",466,4,2.66,6.53,0
"武汉机票预订",20,1,0.65,8.57,0
"大连航班",64,1,0.61,6.55,0
"深圳达州航班",12,2,1.97,3.22,0
"上海订机票",2394,47,38.9,9.01,0
"购机票",56,1,0.77,9.7,0
"深圳飞机票价",152,1,0.72,6.9,0
"深圳飞机票查询",91,15,20.52,6.61,1
"机票查询",7807,19,18.44,12.04,2
"机票哪个网站最便宜",7,1,0.73,5,0
"民航机票",36,1,0.79,4.12,0
"北京特价机票",87,7,4.85,5.06,0
"机票价格查询",3092,25,11.05,10.15,0
"上海特价机票",272,3,2.02,8.88,0
"特价北京机票",299,2,1.4,8.26,0
"昆明航班时刻表",46,1,0.73,5.83,0
"最便宜飞机票",130,6,4.13,6.67,1
"广州机票团购",7,3,5.99,1.33,0
"深圳飞机票",431,6,5,6.13,0
"广州飞机票价",136,2,1.5,7.88,0
"途牛特价机票",7,1,0.46,1,0
"飞机票",18865,143,71.94,9.16,4
"三亚团购机票",90,20,17.69,3.57,0
"济南-飞机票",112,1,0.64,6.53,0
"中国国航机票查询",3,1,0.45,9.33,0
"杭州机票预订",53,1,0.95,10.47,0
"南京机票查询",7,1,0.96,8,0
"机票-价格",78,1,0.45,9.44,0
"重庆特价机票",18,1,0.65,14.71,0
"飞机票",12782,109,55.78,10.04,5
"大连机票",28,2,1.9,4.63,0
"买机票网站",39,1,0.47,8.78,0
"厦门特价机票",224,1,0.55,7.08,0
"同程网飞机票",103,1,0.47,7.14,0
"预定便宜机票",774,28,17.72,8.99,1
"重庆机票",162,1,0.76,9.14,0
"三亚优惠机票",8,1,0.65,8,0
"打折机票可以改签吗",61,4,1.79,1.81,0
"一折机票查询",19,1,0.5,9.53,0
"北京-飞机票",208,2,1.36,8.26,0
"烟台的飞机票",56,3,1.73,5.55,0
"杭州航班时刻表",79,2,1.48,4.78,0
"呼和浩特打折机票",90,4,2.32,8.52,0
"飞机票端午节",8,1,0.54,8.67,0
"北京最低折扣机票",60,1,0.65,8.32,0
"便宜机票订购",26,2,1.36,8.77,0
"南昌飞机票价",49,1,1.08,9.13,0
"北京特价机票查询网",4,1,0.62,6,0
"西双版纳机票",174,6,5.14,5.84,0
"长沙航班",50,1,0.44,7.5,0
"广州预订机票",9,1,0.58,7,0
"怎么买飞机票最便宜",20,2,0.83,7.11,0
"便宜机票",86,5,5.22,5.01,0
"乌鲁木齐航班",132,1,0.53,8.81,0
"特价南昌机票查询网",15,2,0.6,8.36,1
"买飞机票",1031,33,20.2,7.47,2
"乌鲁木齐机票打折",73,4,2.86,7.65,0
"九寨沟特价机票",1,1,0.72,3,0
"南京飞机票",1041,18,14.2,6.82,1
"深圳飞机票便宜",15,1,0.83,4.1,0
"南昌特价机票",448,5,3.61,8.45,0
"机票预订",6519,37,17.37,12.08,7
"呼和浩特折扣机票",34,1,0.62,8.27,0
"订机票-深圳",601,15,9.79,7.75,1
"温州机票",14,1,0.56,6.67,0
"杭州飞机票预定",43,1,0.59,9.2,0
"什么时候买机票便宜",52,1,0.47,6,0
"机票特价",8,1,0.87,2.83,0
"特惠机票订购",18,2,1.53,6.27,0
"昆明特价机票",216,2,1.18,8.75,0
"打折机票网",698,44,45.64,5.05,0
"飞机票预定",125,4,2.51,9.14,0
"特价飞机票网",13,1,0.5,9.92,0
"南昌航班查询",99,1,0.53,6.41,0
"石家庄机票",29,1,0.58,5.73,0
"济南飞机",267,1,0.53,6.31,0
"乌鲁木齐特价机票",116,3,2.2,8.17,0
"哪个网站的机票便宜",22,4,1.91,7,0
"深圳机票网站",5,1,0.94,3.5,0
"上海机票",265,3,2.71,9.51,0
"广州航班查询",21,1,0.89,6.88,0
"延吉特价机票",5,1,0.74,3,0
"太原特价飞机票",101,1,0.71,8.7,0
"成都航班查询",23,1,0.47,7.09,0
"南京飞机票",1255,12,8.12,8.04,0
"深圳航班时刻表",25,1,0.53,6.79,0
"深圳机票网上预订",6,1,0.85,3,0
"特价北京机票",38,2,1.51,6.17,0
"广州廉价机票",13,1,0.98,7.3,0
"机票订购",1213,14,10.68,9.65,0
"广州的飞机票",429,8,8.61,7.52,0
"武汉出发特价机票",6,1,0.73,6.2,0
"特价机票查询网",90,8,5.11,8.42,0
"海口定机票",5,1,0.34,10,2
"一折机票",49,6,4.56,4.85,0
"北京的航班",1028,4,2.35,6.55,0
"飞机票",32156,42,43.85,7.33,4
"预订折扣机票",16,1,0.68,11.57,0
"昆明机票打折",18,2,1.3,7.36,0
"武汉机票预订",9,1,0.88,6.43,0
"特价机票价格查询",203,35,41.03,4.49,0
"机票订购网",29,4,3.36,5.45,1
"厦门飞机票多少钱",12,1,0.53,4.2,0
"北京航班查询",36,1,0.64,3.61,0
"乌鲁木齐机票",516,2,1.5,7.73,0
"深圳机票预订",73,1,0.31,10.66,0
"怎样买飞机票便宜",40,1,0.5,6.54,0
"广州机票特价",147,3,2.33,9.62,0
