"户籍","性别","年龄","工作时间.月.","是否离职"
"异地","男",29,10,1
"本地","男",34,25,0
"异地","女",22,31,1
"本地","女",36,5,1
"本地","男",28,19,0
"本地","女",31,23,0
"本地","男",40,15,1
"异地","男",26,3,1
"本地","女",33,35,0
"本地","男",30,19,0
"本地","女",36,31,0
"本地","男",31,16,1
"异地","男",47,15,1
"异地","男",37,17,1
"异地","女",25,12,1
"本地","男",30,9,1
"异地","男",31,17,0
"异地","男",20,11,1
"异地","男",25,4,1
"异地","男",26,16,0
"异地","女",26,17,0
"异地","女",33,8,1
"本地","女",21,5,1
"异地","男",35,7,1
"异地","男",20,20,0
"异地","女",25,2,1
"异地","男",25,12,0
"异地","男",25,2,1
"本地","男",35,6,1
"异地","男",32,2,1
"异地","女",26,3,1
"异地","男",32,19,0
"异地","男",28,3,1
"异地","男",42,3,1
"异地","男",25,7,1
"异地","男",37,36,0
"本地","女",26,11,0
"本地","男",30,18,0
"本地","女",31,18,0
"本地","男",30,10,1
"本地","女",31,18,0
"异地","男",28,9,1
"本地","女",30,7,1
"本地","男",30,9,1
"本地","女",31,28,0
"异地","女",30,17,1
"本地","女",35,27,1
"异地","女",32,13,0
"本地","女",27,12,0
"本地","男",25,4,1
"异地","女",26,29,1
"异地","男",42,35,1
"异地","女",32,26,0
"本地","女",25,26,1
"异地","女",36,36,0
"异地","男",32,36,0
"异地","男",28,26,1
"异地","男",30,24,0
"本地","男",27,24,0
"异地","男",32,27,1
"本地","女",25,10,1
"异地","男",27,16,1
"本地","女",20,15,1
"本地","女",26,11,1
"异地","男",28,24,0
"异地","男",30,27,0
"本地","男",32,17,1
"本地","男",42,16,1
"异地","男",36,17,1
"异地","女",26,17,1
"异地","男",27,17,0
"异地","女",37,28,0
"异地","女",35,35,0
"异地","男",31,30,1
"本地","女",41,35,0
"异地","女",31,28,0
"异地","男",32,35,0
"异地","女",25,26,0
"异地","男",25,14,1
"异地","女",31,20,1
"异地","男",31,8,1
"异地","女",27,12,1
"异地","男",31,24,0
"本地","女",41,26,1
"异地","女",37,19,0
"异地","女",31,9,1
"本地","女",36,37,0
"本地","男",26,30,1
"本地","男",26,33,0
"异地","男",26,35,0
"本地","男",26,24,1
"异地","男",28,19,1
"本地","女",41,24,0
"异地","女",31,25,0
"本地","男",31,24,0
"本地","男",26,17,1
"异地","男",26,20,0
"异地","男",26,12,1
"本地","男",39,10,1
"异地","男",37,16,1
"本地","男",30,13,1
"本地","男",29,11,1
"本地","女",41,13,1
"本地","女",32,26,1
"异地","男",21,34,0
"异地","男",40,30,0
"本地","男",40,25,1
"本地","男",23,28,0
"异地","男",31,25,0
"异地","女",35,14,1
"异地","男",30,18,0
"本地","女",25,13,1
"本地","女",25,12,1
"异地","男",46,29,0
"异地","女",30,24,0
"本地","女",45,12,1
"异地","女",21,19,0
"本地","女",26,36,0
"本地","女",35,29,0
"本地","男",32,20,1
"本地","男",35,18,1
"异地","女",30,24,0
"本地","男",26,29,0
"本地","男",30,27,0
"本地","女",35,22,0
"本地","女",28,19,1
"本地","男",37,35,0
"本地","女",32,31,0
"本地","男",26,17,0
"本地","女",30,16,0
"本地","女",35,16,0
"本地","男",35,34,1
"本地","男",32,38,0
"本地","男",25,35,0
"本地","女",31,35,0
"异地","女",26,34,0
"本地","女",38,29,1
"异地","男",31,29,1
"本地","女",35,21,0
"异地","女",36,21,0
"本地","男",27,9,1
"本地","男",31,38,0
"本地","女",31,23,0
"异地","女",32,34,0
"本地","男",21,23,0
"本地","男",20,26,0
"本地","男",32,26,0
"异地","男",45,18,0
"异地","男",26,11,1
"本地","男",30,15,1
"本地","女",26,12,1
"本地","男",30,24,0
"异地","男",40,3,1
"异地","男",26,20,0
"异地","男",36,16,1
"异地","男",26,17,0
"本地","男",30,17,0
"本地","男",31,11,1
"本地","女",32,35,0
"本地","男",46,21,0
"异地","男",31,36,0
"本地","男",37,26,0
"本地","女",31,8,1
"异地","男",31,32,0
"异地","女",36,22,1
"本地","女",25,22,0
"异地","女",30,19,0
"异地","男",26,19,0
"本地","男",35,31,0
"异地","男",32,31,0
"本地","女",40,21,0
"异地","男",27,18,1
"异地","女",26,18,1
"本地","男",27,18,0
"异地","男",35,28,0
"异地","男",26,24,0
"异地","男",43,15,0
"异地","男",30,19,1
"本地","男",32,17,0
"本地","男",25,17,0
"异地","男",35,12,1
"异地","女",41,30,0
"异地","女",31,12,1
"异地","女",31,16,0
"异地","女",28,8,1
"本地","女",26,22,1
"本地","男",33,11,1
"本地","女",26,10,1
"本地","男",36,9,1
"本地","女",27,6,1
"异地","男",28,22,1
"异地","男",30,18,1
"异地","女",30,9,1
